userName;score;content;Layanan;Fitur;Kebermanfaatan;Bisnis;Non Aspek
Kusyati Nisa;5;Mantaf skali mudah juga buat ikut pelatihan prakerja sangat mudah skali 👍sungguh bermanfaat bagi kami;0;0;1;0;0
Nurul Latifah;5;keren buat beli kartu prakerjaa;0;0;0;0;1
Lukman Hadi;1;Lapak saya dibekukan, sudah komplain tidak ada tanggapan, tiba tiba ditutup oleh sistem, gajelas;-1;0;0;0;0
Felisona Hulu;1;Benar2 mengecewakan.Respon sangat lama.pokok nya tidak d rekomended;-1;0;0;0;0
Don faizal;5;Ini adalah salah satu tempat terbaik untuk belanja online ,apabila ada masalah antara penjual dan pembeli ,bukalapak cukup proactive sebagai pengambil solusi terbaik;1;0;0;0;0
Tiara Dwi Mardiansyah;5;Sangat membantu untuk berbelanja dengan dagangan yang variatif;0;0;1;0;0
Pengguna Google;1;Kenapa appk BUKA LAPAK sekarang susah,,, Saya sudah melakukan pembayaran tp belum terverifikasi,barang pesanan jd kadarluarsa,,, Mohon kembalikan saldo saya,buka applikasi bantuan nya mutar mutar,saya jd bingung,,,;-1;-1;0;0;-1
Kulon Tea;1;Aplikasi apaan ini, pembayaran sudah dilakukan melalui mbaking BCA, tapi status pembayaran angsuran msh proses aja dari tgl 31 Mei 2022 sampai skrng. Tutup aja aplikasinya.;0;-1;0;0;-1
badru kowi;1;Limit paylater nay ko gk naik naik padahl udh dari dulu jarang telat bayar ,,tolong tingatkan kya shopee smakin bagus riwayat semakin naik paylater nya.;-1;-1;0;0;0
Agung Wiratmoko;2;Bintang 2 dulu, sampe sekarang belum bisa verifikasi email;0;-1;0;0;0
nur maulana;5;Bermanfaat dan mudah di mengerti;0;0;1;0;0
Abdul Kholiq;5;Barang sudah diterima,dengan keadaan baik trimakasih;0;0;0;1;0
Naufal Al muchsin;5;Dengan bukalapak membuat segala keperluan jadi mudah dan cepat;0;0;0;1;0
Pijar Samudra;3;Sudah mau bangkrut kah? pilihan pulsa makin dikit, voucher makin dikit, bonus harian juga skrg udh ga ada..;0;0;0;-1;0
Dimas Mong;1;Jual produk digital, tapi produknya tidak tampil 👎;-1;0;0;0;0
ahmad sopyan07;1;Toko gw di non aktifkan permanen dan semua produk dihapus otomatis. Dah susah2 ratusan upload produk eh maen tutup sama hapus aja.;0;0;0;-1;-1
Dendi 021;5;Pelayanan bagus banget mantap pokona mah lah;1;0;0;0;0
Aceng Khiyaruman;2;Aplikasinya baik dan bisa dipercaya, sayangnya masih ada diskriminasi dalam promo dan bonus, dan tidak ada perubahan. Maaf bintanya harus saya turunkan.;-1;-1;0;-1;1
Fauzul Nicky;5;Memang bukalapak the best.. Sangat membantu dalam segala hal.. Memuaskan pokoknya.. Terimakasih bukalapak 😎;0;0;1;1;1
Abua Din;5;Apk sangat membantu, mudah dan sangat lengkap.. Terimakasih buka lapak 😉;0;0;1;0;1
Rizal Kurniawan;5;Respon dan proses transaksi dilapak ini cepat dan bersahabat, good job Bukalapak;1;1;0;1;1
Iswan Iswan;2;Harap di perhatikan setiap belanja d bukalapak sesalu ada yg nlp , dan saha pernah kejadian tertipu , untuk lewak ke akukaku aga ketat ke amana langsung akun saya d blok,;0;0;0;0;0
Khufadz Fazari;4;Bintangnya saya turunin jadi 2,,bukalapak eror,,,proses transaksi bermasalah,,,mohon segera diperbaiki;0;-1;0;0;0
Dwi Shaw;5;Aplikasi nya bagus, sangat sangat membantu.... Kereeennnnn...!!!;0;0;1;0;1
deni robiani;5;Sangat membantu disaat ada kebutuhan;0;0;1;0;0
andi pandangai;5;Sesuai barang...lebih cepat dari estimasi.. Terima kasih..mantappp;0;0;0;1;0
aguy_aguy M.komarullah;5;Min tolong dunk untuk komplenan nya lebih dipermudah lagi,lngsung chat ke cs nya;0;-1;0;0;0
Asep Rama;5;Oke banget, profesional dan kompetitif. Saya member paling lama di bukalapak;0;0;0;1;0
dodi permadi;5;Transaksi mudah, aman, cepat;0;0;0;1;0
Mas Tejo;1;aplikasi di update makin gak jelas pesanan tidak bisa dibatalkan;0;-1;0;0;0
egi Sihabudin;5;Mantap pelayanan yang sangat baik dan mudah;1;0;0;0;0
arif ramadhan;5;Skarang lumayan lah,pengiriman cepat banget,skarang sdah sangat bagus,makasih bl;0;0;0;1;0
Virginia Kurnia 075;1;"Penipuan ini mah. Mau kirim barang udah tf tpi gak di konfirm"". Sampai kadaluarsa. Dan gatau gimana cara tarik uangnya. Nyesel banget";0;0;0;-1;0
PRI JAYA TEKNIK;5;untuk aplikasi sangat mantap, hanya saja pada saat buka aplikasi muncul pop-up iklan promo, yg menurut saya sangat risih.;0;1;0;0;1
Hendi Kinoy;5;Bukalapak emang yg terbaik pertahankan dan sukses selalu;0;1;0;0;0
Candra Budi;4;Kenapa sekarang credits tak bisa ditambahkan dalam pembayaran? Kenapa habis batal pesenan mau order lagi susah?;0;-1;0;0;0
Jemboet Magic;1;Kenapa sertifikat di dashboard saya belum muncul-muncul sudah 1 bulan ingin mengajukan pengaduan tidak di respon sama sekali pelayanannya sungguh sangat mengecewakan;-1;0;0;0;0
Arif Dharmawan;5;Mantap barang original untuk di pasang selamanya di mobil. Ayo gan yang mau pasang cari yang original, puas walau mahal dikit tapi kepuasan tidak bisa di nilai dgn uang. Pokoke mantap sekali.;0;0;0;1;0
Arafah Shofiya;5;boleh dicoba paylaternya sprt apa, lbh bagus atau tidak dr appl lain.;1;0;0;0;0
Herman Jordan;5;Sangat membantu mencari kebutuhan;0;0;1;0;0
Sandy Sagoro;4;Bukalapak sekarang payah, disarankan untuk memberikan ulasan dan dapat credit 400, nyatanya ga dapat. Saya cb aplikasi orange malah lebih murah. Thanks;0;-1;0;0;0
Cemat Bintang Pamungkas;5;Belanja di Bukalapak sangat memuaskan, barangnya bagus-bagus pengiriman nya juga cepat.👍👍👍;0;1;0;1;0
Rizky Yuliansyah;5;Bagus dan cepat;0;0;0;1;0
De RTF yah;5;Mudah dan simple;0;0;1;0;0
Muhammad Miftah;5;bagus aplikasinya.....komplit hampir semua barang2 ada...dan masalah harga relatif...;0;1;0;1;0
fawzan anshary;2;filter gratis ongkir di pencarian balikin lagi bos, di versi terbaru kok ngilang;0;-1;0;0;0
Sy_P;1;Top up Lewat buka lapak saldo belom masuk tapi saldo di ATM udh ke potong semoga hal seperti ini segera di perbaiki;0;-1;0;0;0
Eko Prasetyo;5;Sangat bagus dan membantu klo lg pengen cari barang yg susah di pasaran;0;0;1;0;0
Nurul Hidayah;3;Kesan pertama saya pakai buka lapak: 😕❓bingung ( katanya gratis ongkir tapi...ternyata Cuman 10k terus kayak gak ada yang spesial untuk pengguna baru beda banget sama online di sebelah. Itu aja deh komentar saya tentang buka lapak in😓🙏;0;0;0;-1;0
Wahidin Wahid;5;Ok mantab,lebih mantab lagi nich,bisa lebih banyak pilihan pembayarannya;0;1;0;0;0
Dimas Channel;1;Kenapa akunnya keluar terus GK bisa masuk tolong perbaikan yang benar;0;0;0;0;-1
FRANS Ch 81;5;Sangat memudahkan transaksi belanja;1;0;1;0;0
Acep Endrawan;5;Bukalapak benar2 ok..saya selalu bayar tepat waktu.tapi tolong dong limit saya ditambah..trms..;0;1;0;1;0
Senal Penjaga Hati;4;Aku gak bisa login gara gara no hp hilang dan hp aku pernah tereset pabrik padahal udah sekian lama mau bayar hutang paylater tapi gak bisa login 😭😭😭mohon di tindak lebih lanjut agar masalahku terselesaikan;0;0;0;0;-1
Heru 13;1;Banyak masalah di sistem pengiriman, dari Drive ojek online pembatalan ke 2 langsung dikirim manual dan pencairan dana lama, dan sudah dikirim secara manual ,barang sudah sampai customer mlh pesanan di batalkan oleh pihak Bukalapak;0;0;0;-1;0
sosmiadi rasyid;5;Durasi waktu pengiriman barang relatif cepat dan kemasan cukup baik;0;0;0;1;0
Adik Priatna;5;ok ok pokonya sip sangat membantu buat pencarian produk yg terbaik, blanja pun bisa dgn cara pembayaran COD terimakasih Bukalapak salam sukses selalu..;0;0;1;1;0
HDR Gaming;1;Platform Digital terburuk dari semua sisi,apalagi live chat nya,dihubungi dari via apapun tidak ada balasan sama sekali.Kalau mau beli Pelatihan Prakerja saya sarankan jangan pernah melalui platform ini kalau tidak mau menyesal.;-1;-1;0;0;-1
Rizki;5;Bukalapak : Belanja online terlengkap, terbaik, dan terpercaya..;0;0;0;1;0
Tatu Kholifah;4;Bagus pelayanannya, cepat juga sampai nya;1;0;0;1;0
Sosial Sirad;5;Mantap.. Dan masih pakai aplikasi ini.. Blm yg lain. Sukses buat Bukalapak..;0;0;0;0;1
Paund Tanuki;1;tidak ada fitur chat live admin. dan kedua juga saya sudah ditipu sama pelapak saya minta ganti rugi tidak direspon pelapak bahkan akun saya diblokir. saya sudah melapor sama admin bukalapak malah diarahin chat diskusi komplain, sangat kecewa sekali tidak seperti shopee sama tokopedia ada fitur chat live admin jadi bisa ngelaporin pelapak penipu. maaf saya kasih bintang 1 karena admin bukalapak tidak membantu pembeli yang sudah ditipu sama pelapak 🙏🏻 agak kecewa berat sama fitur nya;-1;-1;0;-1;0
Onyo Bermutu;5;Barang sesuai pesanan dan cepat sampai;0;0;0;1;0
Fathandiaz Emirsya Nurwanto;5;(06 Agt 2020) Pengoperasian aplikasi sangat praktis, jadi cari barang dan urusan lainnya (mencari profil, atau melihat produk favorit) lebih mudah (28 Des 2021) Makin ajib nih Bukalapak 👍, fitur-fiturnya makin mudah dicari, desain layar rapi gak kaya aplikasi biru;0;1;0;0;0
Rakha Hanif;5;Bagus banget tampilannya bikin nyaman, tapi bakal lebih mantep lagi kalo ada tampilan dark mode;0;1;0;0;0
Rifki Nurhidayat;5;Sangat bagus rekomendasi banget buat beli pelatihan lewat bukalapak trimakasih;0;0;0;0;1
Ilham Thamrin;5;Aplikasi belanja online yg sempurna;0;1;0;0;0
Ericsson Harel;4;mayan lah... aplikasi buatan lokal selain tokped.. jd bakal i dukung;0;0;0;0;1
Marsudi Bale;5;Buka lapak sangat menarik dan sangat bermanfaat;0;0;1;0;0
Nur Havifa;5;Memberikan kemudahan dalam bertransaksi dan costumer servis nya pun baik-baik 🥰;1;0;1;0;0
Doni Romdoni;5;Semakin lengkap fiturnya;0;1;0;0;0
Muhammad Nur;5;Sangat nyaman menggunakan aplikasi ini sungguh sungguh bermanfaat;0;0;1;0;1
Mega Windy;5;Terimakasih bukalapak saya membeli pelatihan prakerja disini mengambil kelas skill academy sangat mudah dan bagus:);0;0;1;0;0
Sutanto Sutanto;5;Terimakasih barang sudah tiba walopun saya belom liat barangnya tapi saya yakin sesuai keyakinan adalah prinsip;0;0;0;1;0
Gun Gun;5;sangat membantu untuk belanja;0;0;1;0;0
Nabila Chaniago;5;Assalamualaikum... Saya Demos Sitorus pesarta program kartu prakerja, saya mengikuti program kartu prakerja lewat buka lapak,untuk membeli pelatihan online prosesnya sangat mudah dan materinya sangat mudah di pahami dan ujian semoga sertifikat saya segera muncul di dasbord prakerja terimakasih bukalapak😍😍;0;0;1;0;0
Belajar Ilmu;3;Sekarang di bukalapak barang2nya lebih mahal dari toko online lainnya, meski sudah di setel termurah. Gimana mau menang saingan? Coba aja cek sendiri.;0;0;0;-1;0
Didin Hidayat;5;Tetap semangat untuk bukalapak.. MP buatan lokal harus di dukung sampai kapanpun.. semoga bisa jadi primadona di indonesia;0;0;0;0;1
SUPRIADI RIADI;5;Sangat baik, respon sangat cepat, trimakasih aplikasi Bukalapak, semoga semakin berkembang 🤲🙏;1;0;0;0;1
hasbun arrahman;1;layanan live chat tidak helpfull dan lama, live chat tapi masih seperti dijawab dengan robot...;-1;0;0;0;0
Hayati Nur aini;5;Bagus sih.. Tpi gk bisa aktifkan payleter bagi pengguna baru;0;-1;0;0;1
Tan Anton;4;Tolong kepada bukalapak peringatkan pelapak yang selalu telat kirim barang karena merugikan konsumen dari segi waktu & kebutuhan.;0;0;0;-1;0
